violet 1,violet 2,violet 3,violet 4,violet 5,violet 6,violet 7,violet 8,violet 9,violet 10,violet 11,violet 12,violet 13,violet 14,violet 15,violet 16,violet 17,violet 18,violet 19,violet 20,blue 1,blue 2,blue 3,blue 4,blue 5,blue 6,blue 7,blue 8,blue 9,blue 10,blue 11,blue 12,blue 13,blue 14,blue 15,blue 16,blue 17,blue 18,blue 19,blue 20,green 1,green 2,green 3,green 4,green 5,green 6,green 7,green 8,green 9,green 10,green 11,green 12,green 13,green 14,green 15,green 16,green 17,green 18,green 19,green 20,yellow 1,yellow 2,yellow 3,yellow 4,yellow 5,yellow 6,yellow 7,yellow 8,yellow 9,yellow 10,yellow 11,yellow 12,yellow 13,yellow 14,yellow 15,yellow 16,yellow 17,yellow 18,yellow 19,yellow 20,orange 1,orange 2,orange 3,orange 4,orange 5,orange 6,orange 7,orange 8,orange 9,orange 10,orange 11,orange 12,orange 13,orange 14,orange 15,orange 16,orange 17,orange 18,orange 19,orange 20,red 1,red 2,red 3,red 4,red 5,red 6,red 7,red 8,red 9,red 10,red 11,red 12,red 13,red 14,red 15,red 16,red 17,red 18,red 19,red 20
711.18,706.58,684.75,689.35,681.3,683.6,684.75,679.01,675.56,682.45,679.01,676.71,676.71,679.01,666.37,668.67,662.92,657.18,660.62,659.48,56.3,60.55,60.55,62.68,62.68,63.74,64.8,65.86,65.86,65.86,66.92,66.92,66.92,66.92,67.99,66.92,65.86,66.92,66.92,67.99,19.78,19.78,19.78,19.78,19.78,19.78,20.57,19.78,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,20.57,19.41,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,21.03,20.22,21.03,21.03,21.03,20.22,20.22,20.22,20.22,20.22,21.03,63.93,64.81,63.93,63.93,63.93,64.81,63.93,64.81,63.93,63.93,64.81,64.81,63.93,64.81,64.81,63.93,63.06,63.06,63.06,63.06,50.71,51.84,51.84,52.97,52.97,54.09,55.22,55.22,54.09,56.35,56.35,55.22,56.35,56.35,55.22,56.35,55.22,55.22,56.35,56.35
884.66,915.68,955.89,971.98,957.04,947.85,959.34,938.66,930.62,920.28,911.09,907.64,908.79,889.26,889.26,877.77,881.22,874.32,878.92,870.88,78.61,84.98,89.23,93.48,94.54,94.54,96.67,96.67,96.67,96.67,96.67,96.67,97.73,96.67,96.67,96.67,97.73,97.73,97.73,97.73,26.11,27.7,28.49,29.28,29.28,29.28,29.28,29.28,29.28,29.28,29.28,29.28,29.28,28.49,28.49,28.49,28.49,28.49,28.49,28.49,25.88,27.5,28.31,29.12,29.12,29.12,29.93,29.12,29.12,29.12,29.12,29.12,29.12,28.31,29.12,28.31,28.31,28.31,28.31,28.31,79.7,82.32,86.7,90.21,88.45,88.45,89.33,88.45,86.7,86.7,86.7,85.83,85.83,84.95,84.95,84.08,84.08,84.08,84.08,84.08,61.98,66.49,69.87,71,71,72.13,73.25,72.13,72.13,72.13,72.13,72.13,72.13,71,72.13,71,72.13,72.13,72.13,72.13
397.52,445.78,443.48,436.59,389.48,361.91,349.27,344.67,334.33,327.44,319.4,312.5,309.06,303.31,299.87,296.42,292.97,291.82,292.97,289.53,45.68,48.87,40.37,42.49,41.43,39.31,38.24,38.24,38.24,38.24,38.24,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,12.66,14.24,14.24,15.04,13.45,12.66,12.66,12.66,12.66,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,12.13,12.94,13.75,13.75,12.13,12.13,12.13,11.32,11.32,11.32,11.32,11.32,11.32,11.32,10.51,10.51,10.51,10.51,10.51,10.51,48.17,50.8,38.53,40.29,37.66,34.16,34.16,33.28,32.4,32.4,31.53,31.53,30.65,30.65,30.65,29.78,29.78,29.78,29.78,29.78,25.92,29.3,30.43,30.43,29.3,28.17,27.05,27.05,27.05,27.05,27.05,27.05,25.92,25.92,25.92,25.92,25.92,25.92,25.92,25.92
641.09,662.92,688.2,677.86,676.71,670.96,668.67,669.82,666.37,666.37,674.41,672.11,666.37,673.26,672.11,668.67,669.82,668.67,668.67,672.11,52.05,54.18,57.36,58.43,58.43,59.49,60.55,60.55,61.61,61.61,62.68,63.74,62.68,63.74,64.8,64.8,64.8,64.8,65.86,65.86,17.41,18.99,19.78,19.78,19.78,19.78,19.78,20.57,20.57,20.57,20.57,20.57,20.57,20.57,21.37,20.57,21.37,21.37,21.37,21.37,17.79,18.6,19.41,19.41,19.41,19.41,19.41,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,21.03,21.03,21.03,57.8,57.8,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,60.43,61.3,60.43,61.3,61.3,61.3,61.3,61.3,61.3,61.3,46.21,48.46,49.59,49.59,49.59,49.59,49.59,49.59,50.71,50.71,50.71,51.84,50.71,51.84,51.84,51.84,51.84,51.84,51.84,51.84
2760.84,2719.47,2707.99,2686.16,2688.45,2747.05,2710.28,2695.35,2688.45,2673.52,2667.77,2664.33,2653.99,2633.31,2648.24,2652.84,2664.33,2683.86,2719.47,2714.88,169.97,174.22,178.47,180.59,183.78,188.03,189.09,191.21,191.21,192.28,193.34,194.4,194.4,195.46,196.53,197.59,198.65,199.71,201.84,202.9,60.93,61.72,61.72,62.52,62.52,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.89,64.89,64.89,65.68,66.47,65.68,63.9,63.9,64.7,64.7,65.51,67.13,66.32,66.32,66.32,66.32,67.13,67.13,67.13,66.32,67.13,67.13,67.13,67.94,68.75,67.94,221.57,218.95,219.82,218.95,219.82,225.08,225.95,225.08,225.08,225.08,225.08,225.08,224.2,224.2,225.08,225.08,226.83,228.58,229.46,231.21,155.52,157.78,161.16,162.28,164.54,169.05,169.05,170.17,170.17,171.3,171.3,172.43,172.43,171.3,173.55,174.68,175.81,176.94,178.06,179.19
1030.57,1009.89,1008.74,1030.57,1027.13,1017.94,988.06,973.13,957.04,949,935.21,928.32,923.73,903.04,884.66,875.47,881.22,874.32,867.43,866.28,75.42,77.55,78.61,81.8,83.92,82.86,82.86,82.86,82.86,82.86,82.86,82.86,82.86,82.86,81.8,81.8,82.86,83.92,83.92,83.92,25.32,25.32,25.32,26.11,26.91,26.91,26.11,26.11,25.32,26.11,25.32,25.32,25.32,25.32,25.32,24.53,25.32,25.32,25.32,25.32,26.69,26.69,26.69,27.5,27.5,27.5,26.69,26.69,25.88,26.69,25.88,25.88,25.88,25.88,25.07,25.07,25.88,25.88,25.88,25.88,87.58,86.7,86.7,88.45,90.21,87.58,87.58,85.83,84.95,84.08,83.2,83.2,82.32,81.45,80.57,79.7,80.57,80.57,80.57,80.57,69.87,69.87,71,73.25,74.38,73.25,72.13,72.13,72.13,72.13,71,71,71,69.87,68.75,68.75,71,71,71,71
1932.47,1866.98,1868.13,1865.83,1858.94,1856.64,1833.66,1807.24,1785.41,1872.73,1910.64,1976.13,1970.38,1987.62,1986.47,2055.4,2062.3,2070.34,2053.11,2053.11,134.91,139.16,139.16,143.41,146.6,145.54,147.66,147.66,148.72,149.78,156.16,158.28,157.22,161.47,157.22,165.72,165.72,168.91,167.84,166.78,45.9,45.11,45.9,46.69,46.69,46.69,46.69,45.9,45.9,48.27,49.06,49.85,49.85,50.65,50.65,51.44,52.23,52.23,52.23,52.23,46.1,46.1,46.91,46.91,46.91,47.72,46.91,46.91,46.91,48.53,49.34,50.15,50.15,50.15,50.15,51.76,51.76,52.57,52.57,52.57,165.52,161.14,159.39,162.9,163.77,162.02,162.9,161.14,162.02,161.14,169.9,172.53,169.03,176.03,169.9,179.54,178.66,182.16,182.16,181.29,116.08,117.21,120.59,121.71,122.84,123.97,123.97,122.84,122.84,128.48,131.86,135.24,135.24,135.24,134.11,139.74,142,143.13,140.87,142
635.35,805.39,946.7,968.53,947.85,966.24,950.15,940.96,937.51,926.02,911.09,928.32,922.58,912.24,913.39,921.43,921.43,915.68,924.87,911.09,60.55,60.55,74.36,86.05,89.23,90.3,92.42,91.36,90.3,90.3,92.42,92.42,91.36,93.48,92.42,93.48,94.54,93.48,93.48,95.61,18.99,23.74,26.91,27.7,27.7,28.49,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,28.49,27.7,27.7,28.49,27.7,19.41,24.26,27.5,28.31,27.5,29.12,28.31,28.31,28.31,28.31,27.5,28.31,28.31,28.31,28.31,28.31,28.31,28.31,29.12,28.31,62.18,63.93,77.07,88.45,90.21,89.33,90.21,89.33,88.45,87.58,87.58,87.58,86.7,87.58,86.7,87.58,88.45,87.58,86.7,88.45,50.71,64.24,69.87,72.13,72.13,75.51,74.38,74.38,74.38,74.38,73.25,74.38,74.38,74.38,74.38,75.51,75.51,75.51,76.63,75.51
798.49,1025.98,950.15,913.39,859.39,841,827.22,799.64,796.2,784.71,762.88,755.98,760.58,753.69,751.39,746.79,741.05,738.75,752.54,745.64,67.99,76.49,76.49,76.49,76.49,75.42,74.36,74.36,73.3,75.42,73.3,73.3,73.3,74.36,74.36,74.36,74.36,74.36,76.49,75.42,22.16,28.49,26.91,26.91,25.32,25.32,25.32,24.53,24.53,24.53,24.53,23.74,24.53,24.53,23.74,23.74,23.74,23.74,24.53,24.53,21.84,28.31,26.69,25.88,25.07,25.07,25.07,24.26,24.26,24.26,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,24.26,23.46,78.82,86.7,84.95,82.32,80.57,77.94,76.19,74.44,73.57,74.44,71.81,71.81,70.94,71.81,70.94,70.94,70.94,70.94,71.81,70.94,52.97,65.36,63.11,60.86,59.73,58.6,58.6,58.6,58.6,58.6,56.35,56.35,57.48,57.48,57.48,57.48,57.48,57.48,58.6,58.6
562.97,535.39,468.76,729.56,706.58,654.88,633.05,623.86,602.03,611.22,615.82,615.82,599.73,615.82,615.82,610.07,610.07,602.03,568.71,581.35,41.43,42.49,41.43,58.43,59.49,56.3,54.18,53.12,54.18,54.18,55.24,55.24,55.24,55.24,56.3,56.3,54.18,55.24,54.18,55.24,15.83,15.04,14.24,20.57,19.78,18.99,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.99,18.99,18.99,18.99,18.2,17.41,18.2,14.56,13.75,12.94,19.41,18.6,17.79,16.98,16.98,16.98,16.98,16.98,16.98,16.98,16.98,17.79,16.98,16.98,16.98,16.18,16.98,47.29,46.42,42.91,61.3,61.3,56.93,54.3,53.42,53.42,53.42,53.42,54.3,52.55,53.42,53.42,54.3,52.55,52.55,51.67,51.67,33.81,33.81,31.56,45.08,43.95,41.7,40.57,40.57,39.44,40.57,40.57,40.57,39.44,40.57,41.7,40.57,41.7,40.57,38.32,40.57
284.93,294.12,292.97,281.48,286.08,279.19,263.1,273.44,307.91,294.12,284.93,283.78,279.19,282.63,289.53,292.97,275.74,280.33,275.74,282.63,26.56,33.99,30.81,36.12,36.12,30.81,35.06,36.12,39.31,39.31,39.31,39.31,38.24,38.24,40.37,40.37,39.31,38.24,37.18,40.37,9.5,10.29,10.29,10.29,10.29,10.29,10.29,10.29,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,11.08,8.9,9.71,9.71,9.71,10.51,10.51,9.71,10.51,11.32,11.32,10.51,10.51,10.51,10.51,11.32,11.32,10.51,10.51,10.51,10.51,24.52,31.53,28.9,31.53,31.53,27.15,29.78,29.78,32.4,31.53,31.53,31.53,30.65,30.65,32.4,32.4,31.53,29.78,29.78,31.53,23.67,24.79,25.92,24.79,25.92,25.92,24.79,25.92,29.3,29.3,28.17,28.17,28.17,28.17,28.17,29.3,27.05,28.17,28.17,27.05
381.44,373.4,359.61,346.97,337.78,330.89,325.14,320.55,315.95,314.8,321.7,315.95,312.5,312.5,309.06,310.21,314.8,311.36,310.21,310.21,30.81,31.87,32.93,31.87,31.87,31.87,31.87,31.87,32.93,32.93,32.93,31.87,31.87,31.87,32.93,32.93,32.93,32.93,32.93,32.93,10.29,11.08,11.08,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.51,10.51,10.51,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.71,34.16,33.28,33.28,32.4,30.65,30.65,29.78,29.78,30.65,30.65,29.78,29.78,29.78,28.9,29.78,29.78,29.78,29.78,28.9,28.9,25.92,25.92,25.92,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79
