violet 1,violet 2,violet 3,violet 4,violet 5,violet 6,violet 7,violet 8,violet 9,violet 10,violet 11,violet 12,violet 13,violet 14,violet 15,violet 16,violet 17,violet 18,violet 19,violet 20,blue 1,blue 2,blue 3,blue 4,blue 5,blue 6,blue 7,blue 8,blue 9,blue 10,blue 11,blue 12,blue 13,blue 14,blue 15,blue 16,blue 17,blue 18,blue 19,blue 20,green 1,green 2,green 3,green 4,green 5,green 6,green 7,green 8,green 9,green 10,green 11,green 12,green 13,green 14,green 15,green 16,green 17,green 18,green 19,green 20,yellow 1,yellow 2,yellow 3,yellow 4,yellow 5,yellow 6,yellow 7,yellow 8,yellow 9,yellow 10,yellow 11,yellow 12,yellow 13,yellow 14,yellow 15,yellow 16,yellow 17,yellow 18,yellow 19,yellow 20,orange 1,orange 2,orange 3,orange 4,orange 5,orange 6,orange 7,orange 8,orange 9,orange 10,orange 11,orange 12,orange 13,orange 14,orange 15,orange 16,orange 17,orange 18,orange 19,orange 20,red 1,red 2,red 3,red 4,red 5,red 6,red 7,red 8,red 9,red 10,red 11,red 12,red 13,red 14,red 15,red 16,red 17,red 18,red 19,red 20
915.68,836.41,830.66,861.68,647.99,642.24,639.94,650.28,635.35,605.48,537.69,574.46,542.29,548.03,537.69,529.65,522.76,521.61,538.84,521.61,93.48,64.8,73.3,77.55,70.11,63.74,65.86,65.86,66.92,64.8,59.49,62.68,61.61,63.74,63.74,62.68,62.68,62.68,64.8,62.68,23.74,22.95,22.95,23.74,18.99,18.99,18.99,19.78,18.99,18.99,17.41,18.2,17.41,17.41,17.41,17.41,16.62,16.62,17.41,16.62,25.07,23.46,23.46,24.26,18.6,19.41,19.41,20.22,19.41,19.41,16.98,18.6,17.79,17.79,17.79,17.79,16.98,17.79,17.79,17.79,109.47,68.31,77.94,83.2,71.81,63.06,64.81,64.81,64.81,62.18,55.17,57.8,56.93,58.68,57.8,56.93,56.05,56.05,57.8,56.05,67.62,65.36,66.49,68.75,52.97,57.48,57.48,58.6,58.6,56.35,49.59,56.35,54.09,55.22,55.22,55.22,54.09,54.09,55.22,54.09
708.88,700.84,676.71,654.88,666.37,667.52,654.88,660.62,657.18,665.22,667.52,662.92,667.52,665.22,668.67,667.52,666.37,670.96,664.07,669.82,47.8,49.93,50.99,50.99,53.12,53.12,53.12,54.18,55.24,55.24,56.3,56.3,56.3,57.36,57.36,58.43,58.43,58.43,58.43,58.43,18.2,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,19.78,19.78,19.78,19.78,19.78,19.78,19.78,19.78,19.78,19.78,19.78,16.98,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,56.93,56.93,56.05,55.17,56.93,56.05,56.05,56.05,56.05,56.93,56.93,56.93,56.93,56.93,57.8,57.8,56.93,57.8,57.8,57.8,39.44,40.57,40.57,40.57,41.7,41.7,41.7,42.83,42.83,42.83,43.95,43.95,43.95,43.95,43.95,43.95,45.08,45.08,43.95,45.08
968.53,816.88,943.26,940.96,913.39,917.98,915.68,916.83,898.45,909.94,906.49,905.34,905.34,899.6,893.85,909.94,903.04,893.85,880.07,890.41,69.05,72.24,74.36,74.36,74.36,76.49,75.42,76.49,77.55,77.55,77.55,79.67,78.61,78.61,79.67,80.73,80.73,81.8,81.8,80.73,24.53,19.78,24.53,25.32,23.74,24.53,24.53,25.32,24.53,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,24.26,20.22,25.07,25.07,24.26,25.07,25.07,25.07,24.26,25.07,25.07,25.07,25.07,25.07,25.07,25.07,25.07,25.07,25.07,25.07,80.57,79.7,80.57,79.7,78.82,79.7,77.94,77.94,77.94,77.94,77.94,78.82,78.82,77.94,77.94,78.82,78.82,79.7,78.82,77.94,58.6,41.7,59.73,60.86,59.73,60.86,60.86,61.98,60.86,61.98,61.98,61.98,63.11,63.11,61.98,64.24,64.24,63.11,61.98,63.11
298.72,297.57,272.29,269.99,268.85,257.36,253.91,242.42,233.23,222.89,224.04,221.74,217.14,214.85,229.78,216,213.7,211.4,207.95,204.51,25.5,27.62,26.56,27.62,27.62,27.62,28.68,27.62,26.56,26.56,26.56,26.56,26.56,25.5,27.62,26.56,26.56,26.56,26.56,25.5,9.5,9.5,9.5,9.5,9.5,8.7,8.7,8.7,8.7,8.7,8.7,8.7,7.91,7.91,8.7,8.7,7.91,7.91,7.91,7.91,8.9,8.9,8.09,8.09,8.09,8.09,8.09,8.09,8.09,7.28,8.09,7.28,7.28,7.28,8.09,7.28,7.28,7.28,7.28,7.28,27.15,28.9,26.27,26.27,26.27,26.27,25.4,24.52,23.65,23.65,22.77,22.77,22.77,21.89,23.65,22.77,21.89,21.89,21.89,21.02,21.41,22.54,21.41,21.41,21.41,21.41,21.41,21.41,20.29,20.29,20.29,20.29,19.16,19.16,20.29,20.29,20.29,19.16,19.16,19.16
582.5,621.56,696.24,775.52,791.6,815.73,818.03,811.13,795.05,820.32,799.64,769.77,800.79,792.75,780.11,758.28,778.96,790.45,766.32,785.86,49.93,54.18,57.36,64.8,69.05,71.17,72.24,73.3,71.17,73.3,73.3,71.17,74.36,75.42,75.42,74.36,75.42,75.42,74.36,76.49,16.62,18.2,20.57,22.16,22.95,23.74,23.74,23.74,23.74,24.53,23.74,22.95,24.53,23.74,23.74,22.95,23.74,24.53,23.74,24.53,16.18,17.79,19.41,21.84,22.65,22.65,23.46,23.46,22.65,23.46,22.65,21.84,23.46,23.46,22.65,21.84,23.46,23.46,22.65,23.46,55.17,56.05,58.68,66.56,69.19,71.81,72.69,71.81,70.06,71.81,71.81,70.06,71.81,71.81,70.94,70.06,70.94,70.94,70.06,70.94,39.44,42.83,47.33,52.97,54.09,56.35,57.48,57.48,56.35,57.48,56.35,54.09,57.48,57.48,56.35,54.09,57.48,58.6,55.22,57.48
4288.89,4232.59,4234.89,4232.59,4130.34,4185.49,4146.42,4131.49,4088.98,4037.28,3992.47,3998.21,3926.98,3900.56,3898.26,3850,3823.58,3854.6,3837.37,3830.47,237.96,248.58,254.95,247.52,257.08,261.33,263.45,264.51,263.45,264.51,265.58,265.58,264.51,264.51,265.58,265.58,264.51,267.7,266.64,267.7,84.67,85.46,86.26,86.26,85.46,86.26,86.26,86.26,86.26,85.46,84.67,85.46,84.67,83.88,83.88,83.88,83.09,83.88,83.88,83.88,90.59,93.01,93.01,93.82,93.01,93.82,93.01,93.82,93.01,92.2,92.2,92.2,91.39,90.59,91.39,90.59,90.59,90.59,90.59,90.59,345.06,338.05,345.06,346.81,340.68,345.06,345.06,344.18,341.56,338.93,338.05,337.18,333.67,332.8,332.8,330.17,329.29,330.17,329.29,329.29,222.01,227.65,231.03,233.28,231.03,234.41,234.41,235.54,235.54,234.41,234.41,235.54,234.41,234.41,234.41,233.28,233.28,235.54,235.54,235.54
344.67,348.12,330.89,320.55,310.21,304.46,291.82,281.48,271.14,264.25,261.95,266.55,263.1,266.55,266.55,268.85,268.85,281.48,307.91,295.27,29.74,31.87,31.87,31.87,30.81,29.74,29.74,29.74,28.68,28.68,28.68,28.68,28.68,28.68,29.74,29.74,29.74,29.74,35.06,31.87,10.29,11.08,10.29,10.29,10.29,10.29,9.5,9.5,9.5,9.5,8.7,9.5,9.5,9.5,9.5,9.5,9.5,9.5,10.29,10.29,10.51,10.51,10.51,10.51,9.71,9.71,9.71,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,9.71,9.71,31.53,33.28,31.53,30.65,29.78,28.9,28.9,27.15,26.27,26.27,26.27,26.27,26.27,26.27,26.27,26.27,26.27,26.27,30.65,28.03,25.92,27.05,25.92,25.92,25.92,24.79,23.67,23.67,22.54,22.54,22.54,22.54,22.54,22.54,22.54,23.67,23.67,23.67,25.92,24.79
1501.63,1800.35,1773.92,1822.17,1732.56,1777.37,1755.54,1724.52,1691.2,1653.28,1601.58,1565.97,1561.37,1572.86,1551.03,1548.73,1529.2,1509.67,1483.25,1484.39,110.48,128.54,130.66,138.1,133.85,138.1,139.16,137.04,138.1,138.1,135.97,134.91,134.91,134.91,135.97,135.97,135.97,135.97,134.91,132.79,35.61,41.94,41.94,42.73,41.94,43.52,42.73,42.73,41.94,41.94,41.15,40.36,40.36,40.36,40.36,40.36,40.36,39.57,39.57,39.57,38.82,45.29,44.48,45.29,44.48,45.29,45.29,45.29,44.48,43.68,42.87,42.87,42.06,42.87,42.06,42.06,42.06,41.25,41.25,41.25,137.5,156.77,155.01,166.4,156.77,161.14,159.39,156.77,154.14,154.14,148.88,145.38,144.5,144.5,144.5,143.63,142.75,141.88,140.13,139.25,108.19,123.97,123.97,128.48,126.22,128.48,128.48,127.35,126.22,126.22,123.97,122.84,122.84,125.09,123.97,123.97,123.97,122.84,120.59,120.59
250.46,229.78,220.59,216,213.7,209.1,206.8,199.91,201.06,195.32,188.42,189.57,190.72,190.72,190.72,184.97,176.93,172.34,167.74,166.59,24.43,23.37,23.37,24.43,24.43,24.43,24.43,24.43,24.43,24.43,23.37,24.43,24.43,24.43,25.5,24.43,23.37,23.37,23.37,23.37,7.91,7.91,7.91,7.91,7.91,7.91,7.91,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,8.09,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,6.47,6.47,6.47,6.47,24.52,22.77,21.89,21.89,21.89,21.02,21.02,21.02,21.02,20.14,20.14,20.14,20.14,20.14,21.02,20.14,19.27,19.27,18.39,18.39,21.41,21.41,21.41,21.41,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,21.41,21.41,20.29,20.29,19.16,19.16
1454.52,1472.91,1497.03,1537.24,1511.97,1513.12,1526.9,1513.12,1574.01,1565.97,1540.69,1475.2,1441.88,1447.63,1446.48,1429.25,1410.86,1426.95,1429.25,1430.4,101.98,105.17,111.54,112.6,115.79,120.04,121.1,118.98,124.29,129.6,128.54,127.48,126.41,125.35,126.41,128.54,124.29,126.41,128.54,127.48,34.82,36.4,37.19,38.78,38.78,38.78,39.57,39.57,41.15,41.15,41.15,39.57,39.57,39.57,39.57,38.78,38.78,39.57,39.57,39.57,37.2,38.82,38.82,40.44,40.44,40.44,41.25,41.25,42.06,42.06,42.06,40.44,39.63,40.44,39.63,39.63,39.63,39.63,39.63,39.63,119.11,117.35,122.61,122.61,125.24,127.86,127.86,126.11,129.62,135.75,133.12,130.49,127.86,126.99,127.86,128.74,124.36,126.11,126.99,126.11,87.9,90.16,92.41,96.92,95.79,96.92,99.17,99.17,101.43,102.55,101.43,98.05,96.92,98.05,98.05,96.92,96.92,98.05,98.05,99.17
444.63,442.33,442.33,427.4,415.91,404.42,403.27,395.23,390.63,388.33,376.84,352.72,375.69,367.65,358.46,360.76,358.46,350.42,345.82,344.67,35.06,36.12,37.18,36.12,36.12,36.12,35.06,37.18,36.12,36.12,36.12,36.12,36.12,36.12,36.12,36.12,36.12,36.12,36.12,36.12,12.66,12.66,13.45,13.45,12.66,12.66,12.66,12.66,12.66,12.66,12.66,11.87,12.66,12.66,11.87,11.87,11.87,11.87,11.87,11.87,12.13,12.13,12.13,12.13,12.13,11.32,11.32,11.32,11.32,11.32,11.32,10.51,11.32,11.32,10.51,11.32,11.32,11.32,10.51,10.51,39.41,39.41,39.41,37.66,36.78,36.78,35.91,36.78,35.91,35.91,35.03,35.03,35.03,34.16,34.16,34.16,33.28,33.28,33.28,32.4,30.43,30.43,31.56,30.43,30.43,29.3,29.3,29.3,29.3,29.3,29.3,27.05,29.3,29.3,28.17,29.3,29.3,28.17,28.17,28.17
693.94,975.43,730.71,770.92,859.39,904.19,950.15,961.64,958.19,955.89,955.89,958.19,968.53,990.36,999.55,997.26,989.21,980.02,990.36,986.92,58.43,63.74,60.55,58.43,66.92,74.36,81.8,81.8,82.86,83.92,83.92,83.92,84.98,84.98,86.05,84.98,84.98,86.05,86.05,86.05,18.99,24.53,20.57,21.37,23.74,25.32,26.11,26.11,26.91,26.91,26.91,26.91,26.91,27.7,27.7,27.7,27.7,27.7,27.7,27.7,19.41,23.46,19.41,20.22,22.65,24.26,25.88,25.88,25.88,26.69,26.69,25.88,26.69,26.69,26.69,26.69,26.69,25.88,26.69,26.69,62.18,66.56,63.06,59.55,68.31,75.32,82.32,82.32,83.2,83.2,83.2,82.32,83.2,83.2,84.95,84.08,83.2,84.08,84.08,84.08,50.71,52.97,47.33,49.59,55.22,61.98,66.49,66.49,66.49,66.49,67.62,66.49,67.62,67.62,67.62,67.62,67.62,66.49,67.62,67.62
163.15,165.44,167.74,168.89,168.89,165.44,166.59,156.25,167.74,150.51,160.85,165.44,168.89,164.29,159.7,163.15,163.15,160.85,159.7,167.74,17,18.06,19.12,20.18,20.18,20.18,21.25,18.06,18.06,18.06,19.12,19.12,22.31,21.25,20.18,21.25,23.37,21.25,21.25,22.31,5.54,6.33,6.33,6.33,6.33,6.33,6.33,5.54,6.33,5.54,5.54,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,5.66,6.47,6.47,6.47,6.47,6.47,6.47,5.66,6.47,5.66,5.66,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,16.64,17.52,17.52,18.39,18.39,18.39,18.39,16.64,16.64,16.64,16.64,17.52,18.39,18.39,17.52,18.39,19.27,18.39,17.52,18.39,18.03,19.16,20.29,20.29,20.29,20.29,20.29,19.16,20.29,18.03,19.16,21.41,21.41,20.29,20.29,20.29,21.41,20.29,20.29,21.41
721.52,703.13,692.79,700.84,778.96,806.54,831.81,850.19,842.15,837.56,813.43,829.51,832.96,823.77,830.66,831.81,834.11,830.66,819.17,812.28,69.05,71.17,71.17,74.36,79.67,84.98,88.17,90.3,90.3,90.3,89.23,90.3,92.42,92.42,92.42,93.48,94.54,93.48,92.42,94.54,21.37,21.37,21.37,22.16,23.74,24.53,25.32,26.11,26.11,26.11,25.32,26.11,26.11,26.11,26.11,26.11,26.91,26.91,26.11,26.11,21.84,21.84,21.84,22.65,24.26,25.07,25.88,26.69,26.69,26.69,25.88,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,71.81,70.06,68.31,70.06,73.57,78.82,80.57,83.2,81.45,82.32,80.57,80.57,82.32,81.45,81.45,82.32,82.32,82.32,80.57,81.45,57.48,58.6,59.73,60.86,67.62,69.87,72.13,73.25,73.25,72.13,71,73.25,73.25,73.25,73.25,74.38,74.38,74.38,74.38,74.38
425.1,404.42,396.37,405.57,391.78,367.65,388.33,380.29,357.31,379.14,381.44,346.97,373.4,367.65,363.06,361.91,355.01,349.27,352.72,342.38,44.62,46.74,47.8,47.8,46.74,47.8,46.74,47.8,48.87,47.8,47.8,48.87,48.87,47.8,48.87,47.8,47.8,47.8,47.8,43.55,15.83,15.83,15.83,15.83,15.83,14.24,15.83,15.04,14.24,15.83,15.83,14.24,15.83,15.83,15.04,15.04,15.04,15.04,15.04,14.24,14.56,14.56,14.56,14.56,14.56,13.75,14.56,13.75,13.75,14.56,14.56,12.94,14.56,14.56,14.56,13.75,13.75,13.75,13.75,12.94,40.29,40.29,40.29,40.29,39.41,39.41,38.53,38.53,38.53,38.53,38.53,38.53,38.53,37.66,37.66,37.66,36.78,36.78,36.78,34.16,33.81,33.81,33.81,34.94,33.81,31.56,33.81,33.81,31.56,33.81,34.94,30.43,34.94,33.81,33.81,33.81,33.81,33.81,33.81,31.56
474.5,491.73,471.05,457.27,453.82,450.37,437.74,451.52,420.5,437.74,438.88,437.74,429.69,426.25,434.29,427.4,426.25,429.69,428.54,425.1,30.81,33.99,35.06,35.06,35.06,35.06,36.12,36.12,35.06,38.24,38.24,37.18,38.24,38.24,38.24,38.24,38.24,38.24,39.31,39.31,11.87,13.45,13.45,12.66,12.66,12.66,12.66,13.45,11.87,13.45,13.45,13.45,12.66,13.45,13.45,12.66,13.45,13.45,13.45,13.45,11.32,12.94,12.13,12.13,12.13,12.13,12.13,12.13,11.32,12.13,12.13,12.13,12.13,12.13,12.13,12.13,12.13,12.13,12.13,12.13,38.53,39.41,39.41,38.53,38.53,37.66,38.53,37.66,36.78,38.53,38.53,37.66,37.66,37.66,37.66,37.66,37.66,37.66,37.66,37.66,24.79,28.17,27.05,27.05,27.05,27.05,27.05,28.17,25.92,28.17,29.3,29.3,28.17,28.17,29.3,28.17,28.17,29.3,29.3,29.3
398.67,382.59,383.74,382.59,386.03,381.44,373.4,369.95,367.65,371.1,377.99,372.25,367.65,368.8,368.8,375.69,375.69,368.8,367.65,367.65,38.24,37.18,39.31,40.37,39.31,40.37,40.37,40.37,41.43,41.43,41.43,41.43,41.43,41.43,42.49,42.49,42.49,42.49,42.49,43.55,12.66,12.66,12.66,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,12.66,13.45,13.45,13.45,13.45,13.45,13.45,13.45,12.13,12.13,12.13,12.13,12.94,12.94,12.13,12.13,12.13,12.13,12.94,12.94,12.13,12.94,12.94,12.94,12.94,12.94,12.94,12.94,39.41,36.78,37.66,37.66,37.66,37.66,36.78,36.78,36.78,37.66,37.66,37.66,36.78,36.78,37.66,37.66,37.66,36.78,36.78,37.66,29.3,28.17,29.3,29.3,30.43,30.43,29.3,29.3,29.3,30.43,30.43,30.43,30.43,30.43,30.43,30.43,31.56,31.56,30.43,30.43
675.56,647.99,643.39,638.8,628.45,628.45,627.31,623.86,619.26,619.26,613.52,607.77,605.48,597.43,591.69,587.09,588.24,582.5,575.6,569.86,54.18,55.24,55.24,57.36,57.36,57.36,58.43,58.43,58.43,58.43,59.49,59.49,59.49,58.43,58.43,59.49,59.49,58.43,58.43,58.43,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.2,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,19.41,18.6,18.6,19.41,18.6,18.6,18.6,60.43,58.68,58.68,58.68,58.68,58.68,57.8,57.8,57.8,57.8,57.8,57.8,57.8,56.93,56.05,56.05,56.05,55.17,55.17,55.17,46.21,46.21,47.33,47.33,47.33,47.33,48.46,48.46,48.46,48.46,48.46,48.46,48.46,48.46,47.33,47.33,48.46,47.33,47.33,47.33
497.48,704.28,701.99,549.18,718.07,892.7,746.79,604.33,582.5,600.88,565.26,591.69,574.46,566.41,831.81,798.49,715.77,798.49,808.83,706.58,50.99,62.68,65.86,57.36,61.61,75.42,73.3,65.86,61.61,63.74,62.68,65.86,64.8,67.99,82.86,84.98,75.42,79.67,79.67,76.49,15.83,19.78,19.78,17.41,21.37,25.32,22.16,18.99,18.2,18.99,18.2,18.99,18.2,18.2,24.53,23.74,22.16,23.74,23.74,21.37,16.18,21.84,21.03,17.79,21.84,25.88,22.65,19.41,19.41,20.22,19.41,20.22,19.41,19.41,25.07,24.26,22.65,25.07,25.07,22.65,51.67,64.81,67.44,54.3,59.55,78.82,74.44,63.06,58.68,60.43,56.93,60.43,59.55,63.06,80.57,83.2,70.94,76.19,75.32,70.94,45.08,58.6,58.6,50.71,60.86,69.87,63.11,55.22,54.09,55.22,55.22,56.35,55.22,55.22,71,68.75,64.24,69.87,72.13,65.36
885.81,908.79,919.13,907.64,909.94,898.45,896.15,899.6,899.6,895,890.41,883.51,883.51,878.92,889.26,885.81,884.66,896.15,886.96,886.96,77.55,81.8,86.05,86.05,87.11,87.11,88.17,89.23,90.3,90.3,91.36,91.36,91.36,91.36,92.42,93.48,93.48,94.54,94.54,94.54,24.53,25.32,26.11,26.11,26.11,26.11,26.11,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,27.7,26.91,26.91,25.88,27.5,28.31,27.5,28.31,27.5,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,29.12,29.12,28.31,82.32,83.2,85.83,84.95,85.83,84.95,84.95,85.83,85.83,84.95,84.95,84.95,84.95,84.08,84.95,85.83,84.95,85.83,85.83,85.83,71,74.38,76.63,76.63,76.63,76.63,76.63,77.76,78.89,77.76,77.76,78.89,78.89,78.89,80.02,80.02,78.89,81.14,80.02,81.14
335.48,345.82,336.63,335.48,329.74,334.33,327.44,320.55,322.84,320.55,310.21,321.7,327.44,329.74,327.44,325.14,318.25,319.4,312.5,310.21,29.74,30.81,31.87,31.87,32.93,29.74,32.93,32.93,32.93,32.93,33.99,33.99,35.06,36.12,36.12,36.12,36.12,36.12,35.06,35.06,9.5,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,10.29,11.08,11.08,10.29,11.08,10.29,11.08,10.29,10.29,9.71,10.51,9.71,10.51,9.71,10.51,10.51,9.71,10.51,10.51,9.71,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,31.53,32.4,31.53,31.53,31.53,29.78,31.53,31.53,30.65,30.65,31.53,30.65,32.4,32.4,32.4,31.53,31.53,31.53,30.65,30.65,25.92,27.05,27.05,27.05,28.17,28.17,28.17,28.17,28.17,28.17,27.05,29.3,29.3,29.3,29.3,30.43,29.3,29.3,29.3,28.17
719.22,854.79,830.66,824.92,831.81,820.32,806.54,822.62,806.54,792.75,783.56,792.75,784.71,777.81,776.66,772.07,766.32,770.92,761.73,753.69,47.8,56.3,57.36,59.49,60.55,60.55,61.61,62.68,59.49,62.68,62.68,61.61,63.74,62.68,62.68,62.68,63.74,62.68,61.61,63.74,18.99,22.95,22.16,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.16,22.95,22.95,22.16,16.98,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,21.03,20.22,56.05,65.68,64.81,65.68,65.68,64.81,65.68,65.68,63.06,64.81,64.81,63.06,63.93,63.93,63.06,63.06,63.06,62.18,62.18,63.06,38.32,45.08,45.08,45.08,46.21,46.21,46.21,47.33,47.33,46.21,46.21,47.33,46.21,46.21,47.33,47.33,46.21,47.33,47.33,46.21
860.54,852.49,838.71,824.92,827.22,813.43,804.24,812.28,797.34,803.09,809.98,814.58,809.98,800.79,792.75,798.49,789.3,791.6,800.79,795.05,65.86,69.05,69.05,71.17,71.17,72.24,72.24,72.24,73.3,73.3,74.36,74.36,75.42,74.36,75.42,75.42,75.42,76.49,76.49,76.49,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,24.53,24.53,23.74,24.53,23.74,23.74,24.53,24.53,22.65,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46,72.69,72.69,71.81,72.69,71.81,70.94,71.81,70.94,70.94,71.81,70.94,71.81,72.69,70.94,71.81,70.94,70.06,70.94,71.81,70.94,51.84,52.97,52.97,52.97,54.09,54.09,54.09,54.09,54.09,55.22,55.22,55.22,55.22,55.22,55.22,55.22,55.22,56.35,56.35,56.35
1007.6,1097.21,1090.32,1073.08,1057,1021.38,1003,978.87,960.49,929.47,911.09,944.41,896.15,906.49,890.41,877.77,883.51,892.7,904.19,907.64,73.3,83.92,91.36,92.42,92.42,91.36,91.36,90.3,88.17,88.17,87.11,89.23,88.17,87.11,87.11,84.98,88.17,87.11,89.23,90.3,27.7,30.86,30.07,30.86,30.86,30.07,30.07,29.28,28.49,28.49,27.7,28.49,27.7,27.7,27.7,27.7,27.7,27.7,28.49,28.49,27.5,29.93,29.93,29.93,29.93,29.12,29.12,28.31,27.5,27.5,26.69,27.5,26.69,27.5,26.69,26.69,26.69,26.69,27.5,27.5,83.2,91.96,97.21,98.09,97.21,92.83,91.96,90.21,86.7,85.83,84.95,86.7,84.95,84.08,83.2,81.45,83.2,82.32,84.08,84.95,65.36,73.25,75.51,74.38,74.38,74.38,74.38,73.25,71,71,69.87,73.25,68.75,71,69.87,68.75,69.87,69.87,71,72.13
383.74,364.21,356.16,351.57,358.46,346.97,343.52,340.08,333.18,333.18,326.29,328.59,322.84,323.99,320.55,317.1,319.4,317.1,321.7,317.1,41.43,41.43,41.43,41.43,43.55,42.49,43.55,43.55,43.55,43.55,43.55,43.55,43.55,43.55,43.55,43.55,43.55,43.55,44.62,44.62,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,12.66,13.45,12.66,13.45,12.66,12.66,12.66,12.66,12.66,12.66,13.45,12.66,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.13,12.94,12.94,12.94,12.13,12.13,12.94,12.94,12.94,12.94,40.29,39.41,38.53,37.66,38.53,37.66,37.66,37.66,36.78,36.78,36.78,36.78,35.91,36.78,35.91,35.91,35.91,35.91,35.91,35.91,31.56,31.56,31.56,31.56,32.68,32.68,32.68,32.68,31.56,32.68,31.56,32.68,31.56,31.56,31.56,31.56,31.56,31.56,32.68,31.56
1244.27,1333.89,1294.82,1301.72,1281.04,1260.36,1245.42,1241.97,1251.17,1247.72,1245.42,1240.83,1233.93,1214.4,1220.14,1216.7,1198.32,1214.4,1220.14,1209.8,84.98,100.92,100.92,104.11,105.17,103.04,103.04,105.17,104.11,105.17,107.29,106.23,104.11,108.35,107.29,107.29,108.35,109.42,109.42,110.48,30.86,34.82,34.03,34.82,34.82,34.82,34.03,34.03,34.82,34.82,34.82,34.82,34.82,34.03,34.82,34.82,34.03,34.82,34.82,34.82,30.73,34.78,33.97,33.97,33.97,33.97,33.97,33.97,33.97,33.97,33.97,33.97,33.97,33.97,33.97,33.97,33.97,34.78,34.78,33.97,102.47,114.73,112.1,112.98,112.98,108.6,108.6,108.6,108.6,108.6,110.35,108.6,106.85,109.47,107.72,107.72,107.72,108.6,108.6,108.6,71,81.14,81.14,83.4,83.4,82.27,82.27,83.4,84.52,84.52,84.52,84.52,85.65,83.4,85.65,85.65,84.52,86.78,86.78,85.65
959.34,842.15,889.26,759.43,770.92,770.92,762.88,743.35,728.41,729.56,710.03,708.88,712.33,696.24,692.79,698.54,688.2,684.75,688.2,684.75,63.74,67.99,66.92,63.74,64.8,64.8,63.74,64.8,63.74,62.68,63.74,63.74,62.68,64.8,64.8,62.68,63.74,64.8,59.49,63.74,24.53,22.16,23.74,19.78,21.37,22.16,22.16,21.37,21.37,21.37,20.57,20.57,21.37,20.57,20.57,21.37,20.57,20.57,20.57,20.57,24.26,21.84,23.46,19.41,21.03,21.03,21.03,21.03,21.03,21.03,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,20.22,76.19,77.07,74.44,70.06,68.31,67.44,66.56,66.56,63.93,63.93,63.93,63.93,63.06,63.93,63.06,61.3,62.18,62.18,58.68,61.3,54.09,48.46,54.09,43.95,49.59,50.71,50.71,49.59,49.59,49.59,48.46,48.46,49.59,48.46,48.46,49.59,48.46,48.46,49.59,49.59
