Violet 1,Blue 1,green 1,yellow 1,orange 1,red 1
187.93,126.87,126.83,140.77,99.84,61.61
85.12,61.43,58.62,66.53,45.85,30.8
190.14,144.23,118.3,145.59,92.71,67.04
119.39,78.79,78.87,87.74,64.18,37.14
275.26,182.96,191.84,215.02,148.74,85.16
110.54,73.45,74.61,82.92,60.11,35.33
84.01,56.09,57.55,63.64,46.86,28.99
150.34,110.84,99.12,114.74,77.43,51.64
223.3,153.58,155.61,175.48,121.24,73.38
210.04,160.25,131.09,156.2,100.86,68.85
113.86,78.79,75.67,86.78,62.15,39.86
161.4,112.18,109.78,123.42,86.6,52.55
112.76,78.79,81,91.6,65.2,43.49
86.22,58.76,57.55,64.6,46.86,28.99
138.18,100.16,89.53,105.1,72.33,50.73
74.06,54.75,50.09,57.85,39.73,27.18
102.81,72.11,66.08,76.17,51.96,35.33
118.28,84.13,79.93,92.56,64.18,41.67
425.6,251.06,221.69,259.37,179.31,106.9
198.98,138.89,139.62,157.16,106.97,64.32
112.76,77.46,72.47,81.96,58.07,37.14
79.59,58.76,51.16,59.78,40.75,27.18
138.18,96.15,90.59,102.2,74.37,48.02
175.77,126.87,110.84,130.17,86.6,58.89
477.55,279.11,306.95,358.68,266.93,147.67
114.97,88.14,76.74,91.6,58.07,41.67
311.74,219.01,203.57,239.12,157.91,101.47
227.72,158.92,152.41,176.45,120.22,74.29
517.35,333.86,290.96,362.54,250.62,158.54
