Violet 1,Violet 2,Violet 3,Violet 4,Violet 5,Violet 6,Violet 7,Violet 8,Violet 9,Violet 10,Violet 11,Violet 12,Violet 13,Violet 14,Violet 15,Violet 16,Violet 17,Violet 18,Violet 19,Violet 20,Blue 1,Blue 2,Blue 3,Blue 4,Blue 5,Blue 6,Blue 7,Blue 8,Blue 9,Blue 10,Blue 11,Blue 12,Blue 13,Blue 14,Blue 15,Blue 16,Blue 17,Blue 18,Blue 19,Blue 20,green 1,green 2,green 3,green 4,green 5,green 6,green 7,green 8,green 9,green 10,green 11,green 12,green 13,green 14,green 15,green 16,green 17,green 18,green 19,green 20,yellow 1,yellow 2,yellow 3,yellow 4,yellow 5,yellow 6,yellow 7,yellow 8,yellow 9,yellow 10,yellow 11,yellow 12,yellow 13,yellow 14,yellow 15,yellow 16,yellow 17,yellow 18,yellow 19,yellow 20,orange 1,orange 2,orange 3,orange 4,orange 5,orange 6,orange 7,orange 8,orange 9,orange 10,orange 11,orange 12,orange 13,orange 14,orange 15,orange 16,orange 17,orange 18,orange 19,orange 20,red 1,red 2,red 3,red 4,red 5,red 6,red 7,red 8,red 9,red 10,red 11,red 12,red 13,red 14,red 15,red 16,red 17,red 18,red 19,red 20,real
61.91,59.69,55.27,53.06,53.06,54.17,55.27,55.27,55.27,55.27,54.17,55.27,55.27,56.38,56.38,56.38,57.48,57.48,57.48,57.48,42.73,41.4,40.06,38.73,38.73,38.73,40.06,40.06,40.06,40.06,40.06,40.06,40.06,41.4,41.4,40.06,41.4,41.4,41.4,41.4,41.57,41.57,36.24,36.24,36.24,37.3,37.3,37.3,37.3,38.37,37.3,38.37,38.37,38.37,38.37,38.37,39.43,39.43,39.43,39.43,46.28,46.28,40.5,40.5,41.46,42.42,42.42,42.42,42.42,43.39,42.42,43.39,43.39,44.35,44.35,43.39,44.35,44.35,44.35,45.32,33.62,33.62,29.55,28.53,29.55,29.55,30.56,30.56,30.56,30.56,30.56,30.56,30.56,31.58,31.58,31.58,31.58,31.58,31.58,32.6,19.93,20.84,19.03,19.03,19.03,19.03,19.03,19.03,19.03,19.93,19.03,19.03,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,6.5
170.24,173.56,172.45,165.82,163.61,163.61,172.45,174.66,173.56,170.24,174.66,175.77,174.66,173.56,174.66,175.77,174.66,173.56,175.77,175.77,117.52,121.53,121.53,117.52,116.18,114.85,121.53,122.86,122.86,120.19,124.2,124.2,124.2,122.86,124.2,124.2,124.2,124.2,125.53,125.53,156.67,120.44,108.71,110.84,109.78,110.84,118.3,118.3,118.3,118.3,120.44,120.44,118.3,119.37,119.37,119.37,120.44,119.37,120.44,120.44,178.38,137.88,125.35,127.27,127.27,128.24,135.95,135.95,135.95,134.99,137.88,137.88,135.95,136.92,137.88,136.92,137.88,137.88,137.88,138.84,124.29,95.77,87.62,89.65,88.64,89.65,94.75,95.77,95.77,94.75,96.79,96.79,95.77,95.77,96.79,95.77,96.79,96.79,96.79,96.79,77.91,61.61,57.08,57.08,57.08,57.08,60.7,59.79,59.79,59.79,60.7,60.7,59.79,60.7,60.7,60.7,60.7,60.7,60.7,60.7,3.3
265.31,261.99,263.1,263.1,261.99,263.1,264.2,265.31,266.41,267.52,268.62,269.73,270.83,271.94,275.26,277.47,279.68,277.47,277.47,278.57,198.98,196.31,197.65,197.65,197.65,197.65,198.98,198.98,200.32,200.32,201.65,201.65,202.99,202.99,205.66,206.99,208.33,206.99,206.99,208.33,169.46,169.46,171.59,170.53,170.53,171.59,172.66,173.73,174.79,175.86,175.86,176.92,177.99,179.05,181.19,182.25,184.38,183.32,183.32,183.32,207.3,206.34,209.23,208.27,208.27,210.19,211.16,212.12,213.09,215.02,215.02,215.98,216.94,218.87,220.8,222.73,224.66,223.69,222.73,223.69,133.46,133.46,135.5,134.48,135.5,135.5,136.52,137.54,138.56,139.58,139.58,139.58,140.59,141.61,143.65,144.67,145.69,144.67,144.67,144.67,97.84,96.94,97.84,96.94,96.94,96.94,97.84,96.94,97.84,97.84,98.75,98.75,98.75,99.66,100.56,100.56,101.47,100.56,101.47,101.47,4.8
165.82,164.71,161.4,161.4,160.29,159.18,160.29,160.29,159.18,159.18,159.18,159.18,159.18,158.08,156.97,155.87,155.87,154.76,154.76,153.66,118.85,118.85,117.52,117.52,116.18,116.18,116.18,116.18,116.18,116.18,116.18,116.18,116.18,116.18,114.85,113.51,113.51,113.51,113.51,112.18,107.65,107.65,106.58,106.58,106.58,106.58,106.58,106.58,106.58,106.58,106.58,106.58,105.51,105.51,105.51,104.45,104.45,104.45,103.38,103.38,127.27,127.27,126.31,125.35,125.35,125.35,126.31,126.31,126.31,125.35,126.31,126.31,125.35,124.38,124.38,123.42,123.42,123.42,122.45,122.45,84.56,84.56,85.58,84.56,84.56,84.56,85.58,85.58,85.58,85.58,85.58,85.58,84.56,84.56,84.56,83.54,83.54,83.54,83.54,82.52,56.17,56.17,57.08,57.08,57.08,57.08,57.08,57.08,57.08,56.17,57.08,56.17,56.17,56.17,56.17,55.26,55.26,55.26,55.26,54.36,6.6
135.97,131.55,129.34,127.13,130.44,130.44,129.34,130.44,129.34,129.34,131.55,132.65,131.55,131.55,132.65,132.65,133.76,134.86,132.65,133.76,100.16,97.49,96.15,94.82,96.15,96.15,96.15,96.15,96.15,96.15,97.49,98.82,97.49,97.49,98.82,98.82,98.82,100.16,98.82,98.82,87.4,84.2,83.13,83.13,83.13,83.13,84.2,84.2,84.2,85.26,84.2,85.26,85.26,85.26,86.33,87.4,88.46,86.33,87.4,87.4,105.1,101.24,99.31,99.31,100.28,100.28,101.24,101.24,100.28,102.2,102.2,103.17,103.17,102.2,103.17,105.1,106.06,104.13,104.13,105.1,69.28,67.24,66.22,66.22,66.22,67.24,68.26,67.24,67.24,68.26,68.26,69.28,69.28,68.26,69.28,71.32,71.32,70.3,70.3,70.3,49.83,48.02,47.11,47.11,47.11,47.11,47.11,47.11,47.11,48.02,47.11,48.02,48.02,47.11,48.02,48.92,48.92,48.02,48.02,48.02,6
252.04,249.83,244.3,238.78,259.78,274.15,279.68,278.57,275.26,281.89,281.89,288.52,300.68,301.79,300.68,299.58,298.47,298.47,310.63,312.84,189.63,188.3,184.29,182.96,197.65,206.99,209.66,209.66,209.66,213.67,213.67,217.68,224.35,224.35,224.35,223.02,221.68,221.68,227.02,220.35,163.07,162,156.67,155.61,173.73,177.99,179.05,180.12,180.12,182.25,181.19,187.58,192.91,192.91,193.98,191.84,190.78,193.98,196.11,199.3,198.62,196.7,191.87,190.91,214.05,218.87,220.8,222.73,223.69,226.59,226.59,233.34,239.12,239.12,240.08,238.16,237.19,241.05,242.01,242.01,125.31,125.31,122.26,121.24,135.5,138.56,140.59,140.59,140.59,142.63,142.63,146.71,150.78,151.8,152.82,150.78,149.76,153.84,155.88,159.95,88.78,86.97,86.07,86.97,96.03,97.84,97.84,98.75,99.66,100.56,100.56,103.28,105.09,105.09,105.09,104.19,104.19,105.09,105.09,102.37,3.9
75.17,79.59,79.59,75.17,74.06,72.96,70.75,69.64,67.43,67.43,66.33,65.22,65.22,64.12,64.12,63.01,61.91,64.12,64.12,63.01,56.09,58.76,57.42,54.75,54.75,53.42,52.08,50.75,49.41,49.41,49.41,48.08,48.08,46.74,48.08,46.74,45.4,46.74,48.08,46.74,53.29,56.49,54.36,52.22,51.16,50.09,49.03,49.03,46.9,46.9,45.83,44.76,44.76,44.76,44.76,43.7,43.7,43.7,44.76,43.7,59.78,63.64,61.71,58.82,57.85,57.85,55.92,55.92,53.99,53.03,53.03,52.07,52.07,51.1,51.1,50.14,50.14,50.14,51.1,50.14,40.75,43.81,42.79,40.75,39.73,39.73,38.71,38.71,36.68,36.68,36.68,35.66,35.66,35.66,35.66,34.64,34.64,34.64,35.66,34.64,27.18,29.9,28.08,27.18,26.27,26.27,25.37,25.37,24.46,24.46,24.46,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,23.55,7.7
210.04,193.45,181.29,181.29,187.93,196.77,204.51,197.88,191.24,193.45,189.03,185.72,181.29,183.5,187.93,191.24,184.61,184.61,184.61,184.61,134.88,125.53,117.52,117.52,122.86,126.87,130.87,128.2,124.2,125.53,122.86,121.53,118.85,120.19,122.86,124.2,120.19,120.19,120.19,120.19,143.88,132.16,126.83,130.03,134.29,136.42,141.75,137.49,141.75,134.29,132.16,131.09,127.9,131.09,134.29,133.22,130.03,130.03,130.03,130.03,158.13,144.63,138.84,142.7,148.49,150.41,156.2,152.34,157.16,148.49,146.56,144.63,141.74,144.63,148.49,147.52,143.67,143.67,143.67,144.63,113.09,103.92,99.84,103.92,106.97,109.01,113.09,110.03,114.11,106.97,105.96,103.92,101.88,104.94,106.97,106.97,103.92,103.92,103.92,103.92,61.61,57.08,55.26,56.17,57.98,58.89,60.7,59.79,60.7,57.98,57.08,56.17,55.26,56.17,57.98,57.98,56.17,56.17,56.17,56.17,4.8
114.97,113.86,117.18,124.92,128.23,127.13,126.02,123.81,122.7,124.92,121.6,118.28,118.28,119.39,119.39,119.39,116.07,116.07,117.18,113.86,86.8,86.8,89.47,94.82,98.82,98.82,97.49,96.15,94.82,96.15,94.82,92.15,92.15,93.48,92.15,92.15,90.81,89.47,90.81,88.14,75.67,75.67,77.8,81,83.13,83.13,83.13,81,79.93,79.93,79.93,77.8,76.74,77.8,77.8,78.87,76.74,75.67,76.74,76.74,90.63,91.6,93.53,98.35,101.24,102.2,101.24,99.31,98.35,98.35,98.35,94.49,93.53,94.49,95.46,96.42,93.53,92.56,94.49,93.53,59.09,60.11,61.13,64.18,65.2,66.22,66.22,64.18,63.17,64.18,63.17,61.13,61.13,62.15,62.15,62.15,61.13,60.11,61.13,60.11,42.58,43.49,44.39,46.2,47.11,47.11,47.11,46.2,45.3,46.2,46.2,44.39,43.49,44.39,44.39,44.39,43.49,43.49,43.49,43.49,3.6
144.81,138.18,138.18,135.97,137.08,149.24,143.71,137.08,134.86,135.97,135.97,133.76,131.55,133.76,133.76,133.76,132.65,130.44,131.55,132.65,93.48,90.81,90.81,89.47,90.81,97.49,94.82,90.81,88.14,89.47,89.47,88.14,86.8,88.14,88.14,88.14,86.8,86.8,86.8,86.8,107.65,102.32,102.32,100.19,101.25,109.78,107.65,102.32,101.25,101.25,102.32,101.25,100.19,100.19,100.19,101.25,100.19,99.12,99.12,100.19,113.78,109.92,109.92,108.95,108.95,117.63,115.7,110.88,108.95,108.95,109.92,108.95,107.99,107.99,107.99,108.95,107.99,107.03,107.03,107.03,81.5,79.47,79.47,78.45,78.45,84.56,83.54,79.47,79.47,78.45,79.47,78.45,78.45,78.45,78.45,78.45,78.45,77.43,77.43,78.45,43.49,42.58,43.49,42.58,42.58,45.3,44.39,42.58,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,41.67,40.77,40.77,40.77,5.1
86.22,114.97,107.23,108.33,107.23,127.13,123.81,116.07,114.97,100.6,98.38,90.65,92.86,97.28,100.6,99.49,100.6,100.6,101.7,99.49,65.44,84.13,80.13,81.46,78.79,93.48,92.15,86.8,85.47,72.11,72.11,68.11,69.44,72.11,74.78,73.45,73.45,73.45,74.78,73.45,60.75,78.87,72.47,73.54,108.71,78.87,79.93,76.74,74.61,66.08,62.88,59.68,63.95,65.01,67.15,67.15,67.15,66.08,67.15,66.08,72.31,92.56,85.81,87.74,121.49,93.53,95.46,91.6,88.71,78.1,75.21,70.39,75.21,77.14,79.06,79.06,79.06,78.1,79.06,79.06,48.9,63.17,57.05,58.07,86.6,63.17,64.18,61.13,59.09,52.98,49.92,46.86,50.94,51.96,54,54,54,52.98,54,54,34.43,42.58,39.86,38.96,48.92,42.58,44.39,42.58,39.86,33.52,33.52,32.61,34.43,35.33,35.33,35.33,35.33,35.33,36.24,35.33,4.9
110.54,111.65,111.65,107.23,109.44,108.33,107.23,107.23,105.02,96.17,103.91,107.23,107.23,105.02,107.23,106.12,105.02,105.02,105.02,105.02,74.78,76.12,74.78,72.11,73.45,72.11,72.11,72.11,70.78,65.44,69.44,72.11,72.11,70.78,72.11,72.11,70.78,70.78,70.78,70.78,72.47,76.74,75.67,74.61,74.61,74.61,74.61,73.54,73.54,74.61,69.28,73.54,73.54,73.54,72.47,73.54,73.54,72.47,73.54,73.54,80.99,84.85,82.92,81.96,80.99,81.96,81.96,80.99,80.99,81.96,77.14,80.99,80.99,80.99,80.03,80.99,81.96,80.03,80.99,80.99,59.09,63.17,61.13,61.13,61.13,61.13,61.13,60.11,61.13,61.13,57.05,60.11,61.13,60.11,60.11,61.13,61.13,59.09,60.11,61.13,36.24,37.14,36.24,35.33,35.33,35.33,35.33,34.43,35.33,35.33,32.61,34.43,35.33,34.43,34.43,34.43,34.43,33.52,34.43,34.43,5.1
195.66,194.56,192.35,192.35,175.77,179.08,176.87,176.87,175.77,176.87,174.66,175.77,174.66,173.56,172.45,172.45,173.56,172.45,173.56,170.24,136.21,134.88,133.54,134.88,122.86,125.53,124.2,124.2,122.86,124.2,122.86,122.86,122.86,121.53,121.53,121.53,122.86,121.53,121.53,120.19,140.69,140.69,139.62,137.49,128.96,130.03,128.96,130.03,128.96,128.96,127.9,127.9,127.9,125.76,125.76,126.83,126.83,126.83,125.76,124.7,154.27,155.24,154.27,151.38,142.7,144.63,142.7,143.67,142.7,142.7,141.74,141.74,142.7,139.81,140.77,139.81,140.77,140.77,139.81,138.84,105.96,106.97,106.97,104.94,98.82,99.84,98.82,99.84,98.82,99.84,98.82,97.8,98.82,97.8,97.8,97.8,97.8,97.8,96.79,96.79,61.61,63.42,62.51,61.61,57.98,58.89,57.98,57.98,57.98,57.98,57.08,57.08,57.08,56.17,57.08,56.17,57.08,57.08,56.17,56.17,6.5
69.64,68.54,65.22,65.22,64.12,61.91,60.8,58.59,59.69,59.69,59.69,61.91,58.59,57.48,56.38,58.59,57.48,55.27,55.27,54.17,49.41,49.41,46.74,46.74,45.4,44.07,42.73,42.73,42.73,42.73,42.73,44.07,41.4,41.4,40.06,42.73,41.4,40.06,40.06,38.73,47.96,46.9,45.83,44.76,43.7,42.63,41.57,41.57,41.57,41.57,41.57,42.63,40.5,39.43,39.43,40.5,39.43,39.43,39.43,38.37,53.03,53.03,51.1,50.14,49.17,48.21,47.25,46.28,46.28,46.28,46.28,48.21,45.32,44.35,43.39,45.32,44.35,44.35,44.35,42.42,37.7,36.68,35.66,35.66,34.64,33.62,32.6,32.6,32.6,32.6,33.62,34.64,31.58,31.58,31.58,32.6,31.58,31.58,31.58,30.56,23.55,23.55,22.65,22.65,21.74,21.74,20.84,20.84,20.84,20.84,20.84,20.84,19.93,19.93,19.93,20.84,19.93,19.93,19.93,19.03,6.3
161.4,163.61,162.5,162.5,163.61,163.61,164.71,164.71,164.71,163.61,163.61,161.4,163.61,162.5,163.61,165.82,165.82,166.92,168.03,166.92,110.84,113.51,112.18,112.18,113.51,113.51,113.51,113.51,113.51,113.51,113.51,110.84,112.18,112.18,113.51,114.85,114.85,116.18,116.18,116.18,110.84,111.91,114.04,114.04,114.04,115.11,115.11,112.97,115.11,115.11,115.11,114.04,115.11,114.04,115.11,115.11,117.24,118.3,118.3,118.3,124.38,125.35,127.27,127.27,128.24,128.24,128.24,127.27,128.24,128.24,128.24,128.24,129.2,128.24,128.24,129.2,131.13,132.09,132.09,133.06,87.62,88.64,89.65,90.67,90.67,91.69,91.69,90.67,91.69,91.69,91.69,91.69,91.69,91.69,91.69,91.69,93.73,94.75,94.75,94.75,52.55,54.36,55.26,55.26,55.26,55.26,55.26,54.36,55.26,55.26,55.26,54.36,55.26,54.36,54.36,54.36,55.26,56.17,56.17,56.17,5.9
